,SMILES,Genotoxicity(0.5기준)
386,C=CC=C,1
387,CCCCN(C1CC(C)(C)N(C)C(C)(C)C1)C1=NC(=NC(NCCCN(CCN(CCCNC2=NC(=NC(=N2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)C2=NC(=NC(=N2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)C2=NC(=NC(=N2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)=N1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1,0
388,[Ti+4].CCCCC(CC)C[O-].CCCCC(CC)C[O-].CCCCC(CC)C[O-].CCCCC(CC)C[O-],0
389,CC=CC,0
390,CCCS,0
391,ClCC=C,1
392,ClCCCl,1
393,CC1=CC=C(C=C1)S(=O)(=O)C1=CC(O)=C(O)C=C1,0
394,C=CC(=O)OCCCCOC(=O)C=C,0
395,OCCCl,0
396,[Na+].C[Si](C)(C)[N-][Si](C)(C)C,0
397,CCCN,0
398,NCC=C,1
399,CCC#N,0
400,Cl[Si](Cl)(Cl)CCC#N,0
401,C=CC#N,1
402,[Zr+4].CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-],0
403,[O-]N(=O)=O.[O-]N(=O)=O.[H][N]1=C(N)NC(N)=[O][Cu++]11[O]=C(N)NC(N)=[N]1[H],1
404,OCC=C,0
405,NNC(=O)CCCCC(=O)NN,0
406,OCC#C,0
407,ClCC=O,0
408,OCCO,0
409,O=CC=O,0
410,O=S1(=O)OCCO1,1
411,COC=C,0
412,CCC1=NC=CN1,0
413,C=CN1C=CN=C1,0
414,CN1C=C(C)C=N1,0
415,SC1=NN=C(S)S1,0
416,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,0
417,CC=NO,1
418,O=S1(=O)OCCCO1,1
419,COC=O,0
420,NCCS(O)(=O)=O,0
421,NNC1=CC=C(Cl)C=C1,1
422,CC(O)CC(C)(C)O,0
423,C[N+](C)(C)CC([O-])=O,0
424,C[Si](C)(C)O[Si](C)(C)C,0
425,[K+].O=C1[N-]C(=O)C2=C1C=CC=C2,0
